enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours,target
29725,city_40,781.9999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,47,stay
666,city_162,775.25,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,8,stay
28806,city_160,890.0,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,24,stay
402,city_46,771.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,18,switch
27107,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,46,switch
23853,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,108,stay
25619,city_61,884.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,23,stay
6588,city_114,894.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,18,stay
31972,city_159,832.25,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,68,stay
19061,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,50,stay
7041,city_40,781.9999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,65,stay
21538,city_100,865.25,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,8,switch
10408,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,68,switch
14928,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,40,stay
22293,city_103,890.0,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,141,stay
26966,city_160,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,82,stay
26494,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,145,stay
4866,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,206,stay
12726,city_114,894.5,Male,No relevent experience,Part time course,High School,,1,10000+,Other,152,stay
10164,city_114,894.5,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,42,switch
2547,city_114,894.5,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,14,stay
13854,city_104,893.0,Male,Has relevent experience,no_enrollment,High School,,4,10/49,Pvt Ltd,36,stay
5590,city_21,668.0,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,7,switch
9006,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,87,switch
25987,city_103,890.0,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,52,switch
25103,city_83,892.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,21,stay
2195,city_64,699.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,102,stay
30533,city_105,795.5,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,26,stay
1023,city_114,894.5,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,43,stay
12253,city_104,893.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,45,stay
25296,city_73,765.5,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,52,stay
18578,city_162,775.25,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,26,switch
26516,city_75,904.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,25,stay
8433,city_100,865.25,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,48,stay
5878,city_93,848.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,142,switch
25695,city_67,841.25,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,13,stay
12730,city_16,882.5,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,28,stay
12731,city_13,820.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,29,stay
10908,city_67,841.25,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,46,stay
22683,city_36,869.75,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,65,stay
22134,city_103,890.0,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,35,stay
31765,city_67,841.25,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,14,stay
31449,city_103,890.0,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,4,stay
5987,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,12,stay
21762,city_160,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,108,stay
25413,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,,27,stay
28403,city_71,863.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,86,stay
30937,city_57,849.5,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,83,stay
29290,city_152,723.5,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,42,stay
32401,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,332,stay
16869,city_103,890.0,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,13,switch
12081,city_65,801.5,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,33,stay
7016,city_65,801.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,14,switch
8695,city_11,612.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,27,switch
6172,city_11,612.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,24,switch
18257,city_103,890.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,20,stay
1180,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,52,stay
28627,city_75,904.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,160,stay
8168,city_136,872.75,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,3,stay
10473,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,switch
25349,city_16,882.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,28,stay
4789,city_67,841.25,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,210,stay
11338,city_114,894.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,36,stay
8571,city_21,668.0,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,101,stay
16303,city_114,894.5,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,46,stay
20576,city_97,893.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,19,stay
32966,city_21,668.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,26,switch
18819,city_50,871.9999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,59,stay
14199,city_160,890.0,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,260,stay
7666,city_21,668.0,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,74,stay
13915,city_16,882.5,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,20,switch
10555,city_173,858.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,8,stay
16040,city_103,890.0,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,131,stay
13253,city_82,719.75,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,109,stay
